open,high,low,close,volume,vwap,timestamp,transactions
268.9,268.9,268.9,268.9,325.0,268.9311,2024-01-19 13:00:00,14
269.0,269.0,269.0,269.0,505.0,269.0067,2024-01-19 13:10:00,12
268.7,268.7,268.7,268.7,210.0,268.7074,2024-01-19 14:20:00,7
268.14,268.14,268.14,268.14,263.0,268.1438,2024-01-19 14:25:00,13
268.18,268.5,267.05,267.89,595521.0,268.1291,2024-01-19 14:30:00,3429
267.92,268.65,267.92,268.44,72482.0,268.3751,2024-01-19 14:35:00,2038
268.4,268.46,268.25,268.28,81980.0,268.3303,2024-01-19 14:40:00,1805
268.29,268.625,267.74,268.44,70648.0,268.2394,2024-01-19 14:45:00,1690
268.49,268.92,268.31,268.85,46733.0,268.6045,2024-01-19 14:50:00,1399
268.82,269.11,268.77,269.07,76770.0,268.9445,2024-01-19 14:55:00,1847
269.1,269.16,268.73,268.85,55118.0,268.9908,2024-01-19 15:00:00,1510
268.88,268.91,268.58,268.74,48081.0,268.7574,2024-01-19 15:05:00,1158
268.74,268.8,268.445,268.6301,54120.0,268.6189,2024-01-19 15:10:00,1225
268.66,269.0,268.62,268.78,50058.0,268.7871,2024-01-19 15:15:00,1108
268.85,268.89,268.485,268.65,35317.0,268.6815,2024-01-19 15:20:00,963
268.6477,268.98,268.57,268.98,49523.0,268.7793,2024-01-19 15:25:00,1080
269.0,269.06,268.57,268.57,41135.0,268.7949,2024-01-19 15:30:00,1138
268.56,268.74,268.49,268.65,31726.0,268.6062,2024-01-19 15:35:00,990
268.67,268.93,268.59,268.865,35625.0,268.7642,2024-01-19 15:40:00,1059
268.79,269.01,268.68,268.75,43149.0,268.8989,2024-01-19 15:45:00,1070
268.69,268.84,268.5601,268.73,32492.0,268.7129,2024-01-19 15:50:00,978
268.75,268.935,268.59,268.69,28746.0,268.7335,2024-01-19 15:55:00,829
268.73,268.89,268.55,268.7542,34840.0,268.7164,2024-01-19 16:00:00,936
268.75,268.83,268.6,268.8,44371.0,268.721,2024-01-19 16:05:00,1075
268.83,269.08,268.83,268.895,45156.0,268.9571,2024-01-19 16:10:00,1230
268.91,269.025,268.84,268.91,34069.0,268.9231,2024-01-19 16:15:00,870
268.9274,269.12,268.92,269.075,34723.0,269.0275,2024-01-19 16:20:00,982
